Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,SharedContracts.csproj,File,SharedContracts.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,SharedContracts.csproj,File,SharedContracts.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,SharedContracts.csproj,File,SharedContracts.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SharedContracts.csproj,File,SharedContracts.csproj,,,System.Runtime.CompilerServices.Unsafe 5.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 5.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SharedContracts.csproj,File,SharedContracts.csproj,,,System.Runtime.CompilerServices.Unsafe 5.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 5.0.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe, 6.1.2"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,SharedContracts.csproj,File,SharedContracts.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SharedContracts.csproj,File,SharedContracts.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0"
Binding.0005,Missing binding redirect for referenced assembly,Active,Potential,1,SharedContracts.csproj,File,App.config,,,,,System.Buffers,,,"Manual redirects exist but none covers System.Buffers (referenced v4.0.3.0, package v4.5.1)"
Binding.0005,Missing binding redirect for referenced assembly,Active,Potential,1,SharedContracts.csproj,File,App.config,,,,,System.Numerics.Vectors,,,"Manual redirects exist but none covers System.Numerics.Vectors (referenced v4.1.4.0, package v4.5.0)"
Binding.0005,Missing binding redirect for referenced assembly,Active,Potential,1,SharedContracts.csproj,File,App.config,,,,,System.Memory,,,"Manual redirects exist but none covers System.Memory (referenced v4.0.1.2, package v4.5.5)"
Binding.0005,Missing binding redirect for referenced assembly,Active,Potential,1,SharedContracts.csproj,File,App.config,,,,,MongoDB.Bson,,,"Manual redirects exist but none covers MongoDB.Bson (referenced v3.9.0.0, package v3.9.0)"
Binding.0005,Missing binding redirect for referenced assembly,Active,Potential,1,SharedContracts.csproj,File,App.config,,,,,EntityFramework,,,"Manual redirects exist but none covers EntityFramework (referenced v6.0.0.0, package v6.5.2)"
